id,name,style,brewery_id,ibu,abv,ounces,stock,price,image
1979,Bitter Bitch,American Pale Ale (APA),177,60,6.1,12.0,39,8.28,/img/beers/1979.png
2318,Ginja Ninja,Cider,154,64,6.0,12.0,86,6.93,/img/beers/2318.png
2170,Cherried Away,Cider,154,69,6.0,12.0,6,14.42,/img/beers/2170.png
2169,Rhubarbarian,Cider,154,73,6.0,12.0,68,8.65,/img/beers/2169.png
1502,BrightCider,Cider,154,78,6.0,12.0,17,6.14,/img/beers/1502.png
1593,He Said Baltic-Style Porter,Baltic Porter,368,82,8.19999999999999,12.0,72,13.51,/img/beers/1593.png
1592,He Said Belgian-Style Tripel,Tripel,368,87,8.19999999999999,12.0,91,17.34,/img/beers/1592.png
1036,Lower De Boom,American Barleywine,368,92,9.9,8.4,53,11.32,/img/beers/1036.png
1024,Fireside Chat,Winter Warmer,368,45,7.9,12.0,3,17.96,/img/beers/1024.png
976,Marooned On Hog Island,American Stout,368,43,7.9,12.0,98,10.37,/img/beers/976.png
876,Bitter American,American Pale Ale (APA),368,42,4.3999999999999995,12.0,93,14.24,/img/beers/876.png
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,17,4.9,12.0,84,9.26,/img/beers/802.png
801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,17,4.9,12.0,17,11.15,/img/beers/801.png
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,17,4.9,12.0,42,11.62,/img/beers/800.png
799,21st Amendment IPA (2006),American IPA,368,70,7.000000000000001,12.0,16,7.72,/img/beers/799.png
797,Brew Free! or Die IPA (2008),American IPA,368,70,7.000000000000001,12.0,38,13.97,/img/beers/797.png
796,Brew Free! or Die IPA (2009),American IPA,368,70,7.000000000000001,12.0,11,10.02,/img/beers/796.png
531,Special Edition: Allies Win The War!,English Strong Ale,368,52,8.5,12.0,66,14.68,/img/beers/531.png
432,Hop Crisis,American Double / Imperial IPA,368,94,9.69999999999999,12.0,60,12.53,/img/beers/432.png
353,Bitter American (2011),American Pale Ale (APA),368,42,4.3999999999999995,12.0,71,7.83,/img/beers/353.png
321,Fireside Chat (2010),Winter Warmer,368,45,7.9,12.0,10,14.32,/img/beers/321.png
173,Back in Black,American Black Ale,368,65,6.800000000000001,12.0,27,8.98,/img/beers/173.png
11,Monk's Blood,Belgian Dark Ale,368,35,8.3,12.0,59,6.66,/img/beers/11.png
10,Brew Free! or Die IPA,American IPA,368,65,7.000000000000001,12.0,0,11.28,/img/beers/10.png
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,17,4.9,12.0,92,7.42,/img/beers/9.png
2519,Bimini Twist,American IPA,67,82,7.000000000000001,12.0,90,8.34,/img/beers/2519.png
2518,Beach Blonde,American Blonde Ale,67,58,5.0,12.0,7,17.18,/img/beers/2518.png
2517,Rod Bender Red,American Amber / Red Ale,67,34,5.8999999999999995,12.0,63,8.97,/img/beers/2517.png
2545,Passion Fruit Prussia,Berliner Weissbier,60,11,3.5000000000000004,12.0,51,7.35,/img/beers/2545.png
2544,Send Help,American Blonde Ale,60,18,4.5,12.0,67,17.33,/img/beers/2544.png
2324,Cast Iron Oatmeal Brown,American Brown Ale,60,19,5.5,12.0,31,14.17,/img/beers/2324.png
2288,Reprise Centennial Red,American Amber / Red Ale,60,21,6.0,12.0,67,7.08,/img/beers/2288.png
2287,Alter Ego,American Black Ale,60,23,5.5,12.0,72,12.07,/img/beers/2287.png
2286,Divided Sky,American IPA,60,24,6.5,12.0,23,8.86,/img/beers/2286.png
2285,Resurrected,American IPA,60,26,6.5,12.0,26,15.43,/img/beers/2285.png
1870,Contact High,American Pale Wheat Ale,60,28,5.0,12.0,2,13.58,/img/beers/1870.png
2603,Galaxyfest,American IPA,27,36,6.5,16.0,89,18.95,/img/beers/2603.png
2602,Citrafest,American IPA,27,45,5.0,16.0,24,23.61,/img/beers/2602.png
2220,Barn Yeti,Belgian Strong Dark Ale,27,55,9.0,16.0,34,13.58,/img/beers/2220.png
2219,Scarecrow,American IPA,27,65,6.9,16.0,83,21.46,/img/beers/2219.png
2218,Ironman,English Strong Ale,27,50,9.0,16.0,77,22.1,/img/beers/2218.png
2217,Honey Kolsch,Kölsch,27,15,4.6,16.0,88,18.39,/img/beers/2217.png
2216,Copperhead Amber,Belgian Dark Ale,27,18,5.2,16.0,25,15.85,/img/beers/2216.png
972,Rude Parrot IPA,American IPA,481,75,5.8999999999999995,16.0,68,21.56,/img/beers/972.png
866,British Pale Ale (2010),English Pale Ale,481,30,5.4,16.0,95,8.25,/img/beers/866.png
48,British Pale Ale,English Pale Ale,481,30,5.4,16.0,28,19.03,/img/beers/48.png
47,Ballz Deep Double IPA,American Double / Imperial IPA,481,82,8.4,16.0,98,12.63,/img/beers/47.png
1583,Wolfman's Berliner,Berliner Weissbier,373,54,3.8,12.0,97,15.4,/img/beers/1583.png
1165,Colorado Native,American Amber / Red Lager,462,26,5.5,12.0,4,7.87,/img/beers/1165.png
431,Colorado Native (2011),American Amber / Red Lager,462,26,5.5,12.0,82,11.93,/img/beers/431.png
516,Jockamo IPA,American IPA,533,52,6.5,12.0,28,9.13,/img/beers/516.png
515,Purple Haze,Fruit / Vegetable Beer,533,13,4.2,12.0,61,14.37,/img/beers/515.png
514,Abita Amber,American Amber / Red Lager,533,17,4.5,12.0,29,13.58,/img/beers/514.png
2540,Citra Ass Down,American IPA,62,68,8.19999999999999,16.0,35,20.35,/img/beers/2540.png
2539,The Brown Note,American Brown Ale,62,20,5.0,16.0,4,16.43,/img/beers/2539.png
2686,Citra Ass Down,American Double / Imperial IPA,1,68,8.0,16.0,68,8.62,/img/beers/2686.png
2685,London Balling,English Barleywine,1,80,12.5,16.0,89,8.66,/img/beers/2685.png
2684,35 K,Milk / Sweet Stout,1,25,7.7,16.0,85,13.08,/img/beers/2684.png
2683,A Beer,American Pale Ale (APA),1,42,4.2,16.0,69,11.45,/img/beers/2683.png
2682,Rules are Rules,German Pilsener,1,25,5.0,16.0,86,23.82,/img/beers/2682.png
2681,Flesh Gourd'n,Pumpkin Ale,1,21,6.6000000000000005,16.0,75,21.22,/img/beers/2681.png
2680,Sho'nuff,Belgian Pale Ale,1,13,4.0,16.0,53,16.73,/img/beers/2680.png
2679,Bloody Show,American Pilsner,1,17,5.5,16.0,66,14.71,/img/beers/2679.png
2678,Rico Sauvin,American Double / Imperial IPA,1,68,7.6,16.0,24,18.85,/img/beers/2678.png
2677,Coq de la Marche,Saison / Farmhouse Ale,1,38,5.1,16.0,57,17.89,/img/beers/2677.png
2676,Kamen Knuddeln,American Wild Ale,1,51,6.5,16.0,88,21.68,/img/beers/2676.png
2675,Pile of Face,American IPA,1,65,6.0,16.0,45,19.58,/img/beers/2675.png
2674,The Brown Note,English Brown Ale,1,20,5.0,16.0,39,22.11,/img/beers/2674.png
1594,Maylani's Coconut Stout,American Stout,367,35,5.3,16.0,32,10.23,/img/beers/1594.png
1162,Oatmeal PSA,American Pale Ale (APA),367,35,5.0,16.0,18,8.73,/img/beers/1162.png
1137,Pre Flight Pilsner,American Pilsner,367,33,5.2,16.0,78,16.39,/img/beers/1137.png
2403,P-Town Pilsner,American Pilsner,117,20,4.0,12.0,21,15.24,/img/beers/2403.png
2402,Klickitat Pale Ale,American Pale Ale (APA),117,36,5.3,12.0,63,7.24,/img/beers/2402.png
2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,103,8.19999999999999,12.0,5,7.64,/img/beers/2401.png
1921,Freeride APA,American Pale Ale (APA),270,40,5.3,12.0,41,8.45,/img/beers/1921.png
1920,Alaskan Amber,Altbier,270,18,5.3,12.0,81,12.14,/img/beers/1920.png
2501,Hopalicious,American Pale Ale (APA),73,22,5.7,12.0,10,8.67,/img/beers/2501.png
1535,Kentucky Kölsch,Kölsch,388,26,4.3,16.0,13,23.84,/img/beers/1535.png
1149,Kentucky IPA,American IPA,388,30,6.5,16.0,66,14.03,/img/beers/1149.png
1474,Dusty Trail Pale Ale,American Pale Ale (APA),401,34,5.4,16.0,77,19.53,/img/beers/1474.png
1473,Damnesia,American IPA,401,38,6.2,16.0,81,9.24,/img/beers/1473.png
837,Desolation IPA,American IPA,401,43,6.2,16.0,51,16.51,/img/beers/837.png
2592,Liberty Ale,American IPA,35,40,5.8999999999999995,12.0,3,12.04,/img/beers/2592.png
2578,IPA,American IPA,35,37,6.5,12.0,44,15.48,/img/beers/2578.png
2577,Summer Wheat,American Pale Wheat Ale,35,34,4.5,12.0,50,7.46,/img/beers/2577.png
2103,California Lager,American Amber / Red Lager,35,31,4.9,12.0,29,12.56,/img/beers/2103.png
2102,Brotherhood Steam,California Common / Steam Beer,35,28,5.59999999999999,12.0,90,11.15,/img/beers/2102.png
2291,Blood Orange Gose,Gose,171,25,4.2,12.0,79,16.26,/img/beers/2291.png
1818,Keebarlin' Pale Ale,American Pale Ale (APA),171,22,4.2,12.0,42,11.05,/img/beers/1818.png
1738,"the Kimmie, the Yink and the Holy Gose",Gose,171,19,4.8,12.0,33,6.64,/img/beers/1738.png
1563,Fall Hornin',Pumpkin Ale,171,16,6.0,12.0,12,13.87,/img/beers/1563.png
1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,13,5.7,12.0,41,11.05,/img/beers/1520.png
1350,Summer Solstice,Cream Ale,171,4,5.59999999999999,12.0,25,12.79,/img/beers/1350.png
1327,Hop Ottin' IPA,American IPA,171,80,7.000000000000001,12.0,46,7.33,/img/beers/1327.png
1326,Boont Amber Ale,American Amber / Red Ale,171,15,5.79999999999999,12.0,4,14.39,/img/beers/1326.png
1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,13,5.7,12.0,88,15.05,/img/beers/1221.png
1217,El Steinber Dark Lager,Vienna Lager,171,25,5.5,16.0,1,23.68,/img/beers/1217.png
811,Boont Amber Ale (2010),American Amber / Red Ale,171,15,5.79999999999999,12.0,8,13.14,/img/beers/811.png
753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,4,5.59999999999999,12.0,70,7.48,/img/beers/753.png
